 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 11.00 36.00 23.00 24.00 22.97 0.0 0.00 -56.0 6.161 131.425
 Schlum. VES 11.00 34.00 22.00 23.00 23.39 0.0 0.00 -56.0 12.449 220.735
 Schlum. VES 11.00 32.00 21.00 22.00 22.56 0.0 0.00 -56.0 30.321 464.545
 Schlum. VES 11.00 30.00 20.00 21.00 21.62 0.0 0.00 -56.0 6.491 84.888
 Schlum. VES 11.00 28.00 19.00 20.00 22.23 0.0 0.00 -56.0 85.468 869.508
 Schlum. VES 11.00 26.00 18.00 19.00 21.86 0.0 0.00 -56.0 5.188 41.758
 Schlum. VES 11.00 24.00 17.00 18.00 21.78 0.0 0.00 -56.0 100.651 609.870
 Schlum. VES 11.00 22.00 16.00 17.00 20.65 0.0 0.00 -56.0 6.936 31.664
 Schlum. VES 11.00 20.00 15.00 16.00 20.10 0.0 0.00 -56.0 21.547 67.349
 Schlum. VES 11.00 18.00 14.00 15.00 18.44 0.0 0.00 -56.0 11.171 22.837
 Schlum. VES 11.00 16.00 13.00 14.00 17.83 0.0 0.00 -56.0 6.517 6.890
 Schlum. VES 11.00 14.00 12.00 13.00 17.70 0.0 0.00 -56.0 17.319 6.148
 Schlum. VES 12.00 43.00 27.00 28.00 22.25 0.0 0.00 -56.0 20.625 698.832
 Schlum. VES 12.00 41.00 26.00 27.00 22.71 0.0 0.00 -56.0 1.144 33.245
 Schlum. VES 12.00 39.00 25.00 26.00 23.08 0.0 0.00 -56.0 32.686 809.698
 Schlum. VES 12.00 37.00 24.00 25.00 22.93 0.0 0.00 -56.0 1.208 25.821
 Schlum. VES 12.00 35.00 23.00 24.00 22.55 0.0 0.00 -56.0 26.601 489.234
 Schlum. VES 12.00 33.00 22.00 23.00 22.97 0.0 0.00 -56.0 12.906 194.151
 Schlum. VES 12.00 31.00 21.00 22.00 22.14 0.0 0.00 -56.0 74.088 946.284
 Schlum. VES 12.00 29.00 20.00 21.00 21.13 0.0 0.00 -56.0 8.564 91.663
 Schlum. VES 12.00 27.00 19.00 20.00 21.64 0.0 0.00 -56.0 14.222 115.630
 Schlum. VES 12.00 25.00 18.00 19.00 21.39 0.0 0.00 -56.0 17.605 108.584
 Schlum. VES 12.00 23.00 17.00 18.00 21.19 0.0 0.00 -56.0 27.828 123.746
 Schlum. VES 12.00 21.00 16.00 17.00 19.99 0.0 0.00 -56.0 10.942 34.393
 Schlum. VES 12.00 19.00 15.00 16.00 19.40 0.0 0.00 -56.0 12.595 24.479
 Schlum. VES 12.00 17.00 14.00 15.00 17.99 0.0 0.00 -56.0 6.243 6.542
 Schlum. VES 12.00 15.00 13.00 14.00 17.35 0.0 0.00 -56.0 18.654 6.755
 Schlum. VES 13.00 42.00 27.00 28.00 22.22 0.0 0.00 -56.0 3.573 106.111
 Schlum. VES 13.00 40.00 26.00 27.00 22.13 0.0 0.00 -56.0 6.180 159.668
 Schlum. VES 13.00 38.00 25.00 26.00 22.74 0.0 0.00 -56.0 3.834 82.639
 Schlum. VES 13.00 36.00 24.00 25.00 22.43 0.0 0.00 -56.0 9.600 177.516
 Schlum. VES 13.00 34.00 23.00 24.00 22.13 0.0 0.00 -56.0 8.729 136.342
 Schlum. VES 13.00 32.00 22.00 23.00 22.59 0.0 0.00 -56.0 9.092 113.796
 Schlum. VES 13.00 30.00 21.00 22.00 21.70 0.0 0.00 -56.0 89.646 934.247
 Schlum. VES 13.00 28.00 20.00 21.00 20.71 0.0 0.00 -56.0 7.312 62.105
 Schlum. VES 13.00 26.00 19.00 20.00 21.04 0.0 0.00 -56.0 27.358 171.589
 Schlum. VES 13.00 24.00 18.00 19.00 20.84 0.0 0.00 -56.0 11.851 53.587
 Schlum. VES 13.00 22.00 17.00 18.00 20.65 0.0 0.00 -56.0 27.879 84.836
 Schlum. VES 13.00 20.00 16.00 17.00 19.16 0.0 0.00 -56.0 7.114 14.000
 Schlum. VES 13.00 18.00 15.00 16.00 18.83 0.0 0.00 -56.0 6.142 6.148
 Schlum. VES 13.00 16.00 14.00 15.00 17.91 0.0 0.00 -56.0 19.341 6.785
 Schlum. VES 14.00 43.00 28.00 29.00 23.05 0.0 0.00 -56.0 13.040 373.226
 Schlum. VES 14.00 41.00 27.00 28.00 21.73 0.0 0.00 -56.0 1.869 49.179
 Schlum. VES 14.00 39.00 26.00 27.00 21.83 0.0 0.00 -56.0 26.550 596.075
 Schlum. VES 14.00 37.00 25.00 26.00 22.27 0.0 0.00 -56.0 2.276 42.389
 Schlum. VES 14.00 35.00 24.00 25.00 22.05 0.0 0.00 -56.0 24.039 376.790
 Schlum. VES 14.00 33.00 23.00 24.00 21.75 0.0 0.00 -56.0 11.896 154.659
 Schlum. VES 14.00 31.00 22.00 23.00 22.11 0.0 0.00 -56.0 38.440 393.339
 Schlum. VES 14.00 29.00 21.00 22.00 21.18 0.0 0.00 -56.0 11.565 96.053
 Schlum. VES 14.00 27.00 20.00 21.00 20.05 0.0 0.00 -56.0 25.476 167.615
 Schlum. VES 14.00 25.00 19.00 20.00 20.54 0.0 0.00 -56.0 13.676 62.750
 Schlum. VES 14.00 23.00 18.00 19.00 20.19 0.0 0.00 -56.0 13.383 41.655
 Schlum. VES 14.00 21.00 17.00 18.00 19.94 0.0 0.00 -56.0 12.519 23.662
 Schlum. VES 14.00 19.00 16.00 17.00 18.50 0.0 0.00 -56.0 6.034 6.148
 Schlum. VES 14.00 17.00 15.00 16.00 18.72 0.0 0.00 -56.0 17.783 5.968
 Schlum. VES 15.00 42.00 28.00 29.00 22.85 0.0 0.00 -56.0 6.110 152.865
 Schlum. VES 15.00 40.00 27.00 28.00 21.48 0.0 0.00 -56.0 3.357 76.593
 Schlum. VES 15.00 38.00 26.00 27.00 21.48 0.0 0.00 -56.0 5.964 115.147
 Schlum. VES 15.00 36.00 25.00 26.00 21.97 0.0 0.00 -56.0 7.629 119.988
 Schlum. VES 15.00 34.00 24.00 25.00 21.60 0.0 0.00 -56.0 11.158 146.084
 Schlum. VES 15.00 32.00 23.00 24.00 21.30 0.0 0.00 -56.0 25.813 274.160
 Schlum. VES 15.00 30.00 22.00 23.00 21.62 0.0 0.00 -56.0 12.519 101.864
 Schlum. VES 15.00 28.00 21.00 22.00 20.70 0.0 0.00 -56.0 28.381 180.943
 Schlum. VES 15.00 26.00 20.00 21.00 19.46 0.0 0.00 -56.0 14.877 72.061
 Schlum. VES 15.00 24.00 19.00 20.00 19.99 0.0 0.00 -56.0 14.801 46.527
 Schlum. VES 15.00 22.00 18.00 19.00 19.67 0.0 0.00 -56.0 7.763 14.881
 Schlum. VES 15.00 20.00 17.00 18.00 19.36 0.0 0.00 -56.0 6.727 6.549
 Schlum. VES 15.00 18.00 16.00 17.00 18.79 0.0 0.00 -56.0 19.321 6.460
 Schlum. VES 16.00 43.00 29.00 30.00 22.56 0.0 0.00 -56.0 34.447 873.218
